x,y,id
20.0,61.0,landscape_lays_foundation_collecting_rep_8893
70.0,38.0,still_life_keep_double_heart_703
63.0,67.0,still_life_sun_light_sun_sun_717
19.0,45.0,still_life_mental_sight_eye_distinguishin_8910
11.0,45.0,still_life_things_judge_720
73.0,48.0,landscape_operate_strike_like_lightening_8918
22.0,45.0,landscape_eye_fancy_hath_8925
45.0,10.0,portrait_others_services_one_duty_whole_733
26.0,44.0,seascape_eye_eyes_muscles_eyes_eye_gate_735
51.0,34.0,portrait_stranger_lead_8938
46.0,21.0,landscape_places_confined_imprisoned_746
62.0,19.0,landscape_joys_prey_slave_8944
12.0,43.0,landscape_imprinted_lasting_wound_8946
39.0,14.0,still_life_working_upon_exact_notice_scri_759
39.0,13.0,still_life_booke_show_done_done_763
40.0,18.0,landscape_hearts_8956
4.0,41.0,portrait_paper_note_booke_765
33.0,53.0,still_life_many_chest_chests_boxes_box_cl_774
70.0,42.0,portrait_wide_bar_8967
70.0,5.0,portrait_fix_8970
65.0,27.0,portrait_conquers_heart_8972
35.0,35.0,landscape_uprooting_781
34.0,89.0,landscape_currency_787
42.0,65.0,landscape_mirrour_view_8979
80.0,53.0,landscape_door_smote_heart_8985
28.0,43.0,landscape_see_everything_glance_798
22.0,43.0,landscape_fix_gaze_799
47.0,68.0,landscape_contres_unheated_mind_8992
52.0,24.0,portrait_must_interval_betwixt_one_pass_8993
54.0,34.0,portrait_little_treasure_8996
25.0,45.0,portrait_words_perceive_eye_see_mirror__804
51.0,44.0,portrait_nakedness_9002
13.0,51.0,landscape_temple_drawings_sketches_hung__9003
46.0,47.0,landscape_fine_forms_touch_eye_looks_tra_9008
43.0,26.0,still_life_writ_table_every_heart_never_p_821
72.0,40.0,still_life_thine_iron_heart_9032
49.0,8.0,landscape_state_sovereignty_whole_office_843
67.0,15.0,landscape_maintain_empire_9039
79.0,47.0,landscape_loadstone_doth_iron_draws_doth_847
40.0,7.0,still_life_litigation_come_caused_852
55.0,21.0,landscape_conquer_passion_9044
12.0,42.0,still_life_ever_engraven_9046
69.0,55.0,still_life_fire_harmony_aristoxenus_numbe_854
36.0,17.0,landscape_conscience_witnesses_858
26.0,49.0,seascape_substance_case_glass_sun_glass_859
73.0,40.0,still_life_iron_heart_9053
53.0,58.0,seascape_tall_cliff_swells_vale_storm_t_9058
43.0,28.0,landscape_ignes_fatui_wandering_amongst__866
70.0,34.0,still_life_chain_restrain_thy_charms_869
57.0,53.0,landscape_fluttering_birds_entring_chimn_875
55.0,26.0,landscape_chronic_passions_infest_9071
78.0,26.0,landscape_rightly_bondages_occasioned_bo_880
81.0,42.0,still_life_steel_9074
49.0,32.0,still_life_villainous_guest_9077
4.0,36.0,still_life_piece_tabula_rasa_appear_betra_9079
38.0,14.0,landscape_pay_attention_divine_monitors_9090
34.0,53.0,portrait_take_possession_thought_suffic_9101
42.0,43.0,still_life_fair_may_crowds_stall_910
28.0,74.0,landscape_thee_clock_work_9103
78.0,45.0,landscape_iron_conscience_9104
46.0,34.0,landscape_wedding_day_912
44.0,61.0,landscape_ways_mountains_high_right_way__914
55.0,67.0,landscape_stones_hang_innate_sweating_st_915
72.0,41.0,still_life_orphean_lyre_iron_heart_inspir_9107
34.0,33.0,still_life_clarke_918
5.0,35.0,still_life_tabula_rasa_blank_without_9111
62.0,56.0,landscape_swift_thought_flight_reach_soa_922
61.0,54.0,landscape_flight_wing_fly_flight_wing_923
32.0,34.0,portrait_self_mind_934
52.0,12.0,still_life_calice_engraven_936
84.0,45.0,still_life_new_steel_hand_938
81.0,54.0,still_life_jewel_thou_brittle_casket_jewe_940
57.0,58.0,landscape_gusts_clouds_storms_gusts_clou_9135
51.0,69.0,landscape_engagements_diggs_without_spad_948
68.0,59.0,landscape_little_flame_fire_kindled_flam_949
81.0,46.0,still_life_gold_draws_iron_load_stone_iro_951
55.0,46.0,landscape_dross_tinn_953
60.0,66.0,landscape_mists_behind_sky_glow_like_bri_9151
43.0,53.0,landscape_life_image_future_impassion_li_9152
39.0,27.0,landscape_implanted_instinct_essential_n_9160
28.0,72.0,still_life_perfect_mill_projects_9163
24.0,62.0,landscape_particular_architect_plastick__972
29.0,70.0,still_life_vehicle_matter_actuates_concom_979
64.0,55.0,landscape_cataract_vortex_whirls_wild_vo_9174
50.0,66.0,landscape_wavy_stream_obsequious_flows_w_9175
75.0,41.0,still_life_iron_hearts_9181
47.0,43.0,landscape_visions_haunt_9198
53.0,70.0,landscape_torrent_whirlwind_filthy_resol_1009
18.0,26.0,landscape_impression_9204
69.0,56.0,still_life_goes_invades_altar_burning_sac_1016
58.0,34.0,still_life_beasts_whose_1020
1.0,47.0,portrait_stamp_9214
62.0,47.0,landscape_sound_peliack_cave_bridle_alla_1022
53.0,43.0,portrait_forth_poured_9219
58.0,48.0,landscape_incense_9223
86.0,47.0,portrait_rust_1031
48.0,83.0,still_life_ripened_9229
47.0,21.0,landscape_liberty_prison_large_wretched__1038
51.0,65.0,seascape_waves_headlong_tide_9233
72.0,35.0,portrait_fetter_soft_chaines_1042
56.0,20.0,still_life_ruling_passion_9237
28.0,70.0,landscape_machine_way_principal_way_late_1049
10.0,50.0,landscape_traces_imprinted_traces_imprin_1054
82.0,54.0,portrait_jewel_chrystal_clos_9250
35.0,41.0,still_life_sicknesses_body_disease_1068
39.0,31.0,landscape_souldiers_employ_well_1076
62.0,52.0,still_life_got_upon_wing_contemplation_de_1077
28.0,37.0,landscape_suddenly_cut_ambuscade_shot_gr_1080
36.0,70.0,still_life_proceed_either_wandring_slowly_1082
45.0,51.0,landscape_roving_although_semblances_fug_9276
49.0,48.0,portrait_etherial_temper_flame_contempt_9282
42.0,58.0,still_life_contrived_puppet_gossamer_give_9287
38.0,11.0,landscape_judge_justice_9290
14.0,30.0,landscape_impression_shin_clear_1103
53.0,34.0,landscape_precious_treasures_laid_9299
70.0,43.0,still_life_billows_firm_1111
53.0,44.0,still_life_souls_feet_wash_1112
12.0,55.0,landscape_states_mount_sion_1124
60.0,10.0,still_life_royal_throne_9322
37.0,54.0,still_life_room_1133
69.0,7.0,landscape_sweetest_empire_9328
37.0,45.0,still_life_always_write_line_dressed_dres_1141
22.0,41.0,landscape_index_9334
46.0,25.0,landscape_whose_noblest_home_1143
